Time,Source,Destination,Protocol,Size,anomaly_score
10:24:01,172.217.170.170,172.18.9.40,6,230,1
10:24:01,172.217.170.170,172.18.9.40,6,230,1
10:24:01,172.18.9.40,172.217.170.170,6,101,1
10:24:01,172.18.9.40,172.217.170.170,6,101,1
10:24:01,172.18.9.40,172.217.170.170,6,101,1
10:24:01,172.18.9.40,172.217.170.170,6,101,1
10:24:01,172.217.170.170,172.18.9.40,6,66,1
10:24:01,172.217.170.170,172.18.9.40,6,66,1
10:24:01,172.217.170.170,172.18.9.40,6,66,1
10:24:01,172.217.170.170,172.18.9.40,6,66,1
10:24:02,172.18.9.40,172.217.170.174,6,1254,1
10:24:02,172.18.9.40,172.217.170.174,6,1254,1
10:24:02,172.18.9.40,172.217.170.174,6,1254,1
10:24:02,172.18.9.40,172.217.170.174,6,1254,1
10:24:02,172.18.9.40,172.217.170.174,6,169,1
10:24:02,172.18.9.40,172.217.170.174,6,169,1
10:24:02,172.18.9.40,172.217.170.174,6,606,-1
10:24:02,172.18.9.40,172.217.170.174,6,606,-1
10:24:02,172.217.170.174,172.18.9.40,6,66,1
10:24:02,172.217.170.174,172.18.9.40,6,66,1
