Time,Source,Destination,Protocol,Size
10:24:01,172.217.170.170,172.18.9.40,6,230
10:24:01,172.217.170.170,172.18.9.40,6,230
10:24:01,172.18.9.40,172.217.170.170,6,101
10:24:01,172.18.9.40,172.217.170.170,6,101
10:24:01,172.18.9.40,172.217.170.170,6,101
10:24:01,172.18.9.40,172.217.170.170,6,101
10:24:01,172.217.170.170,172.18.9.40,6,66
10:24:01,172.217.170.170,172.18.9.40,6,66
10:24:01,172.217.170.170,172.18.9.40,6,66
10:24:01,172.217.170.170,172.18.9.40,6,66
10:24:02,172.18.9.40,172.217.170.174,6,1254
10:24:02,172.18.9.40,172.217.170.174,6,1254
10:24:02,172.18.9.40,172.217.170.174,6,1254
10:24:02,172.18.9.40,172.217.170.174,6,1254
10:24:02,172.18.9.40,172.217.170.174,6,169
10:24:02,172.18.9.40,172.217.170.174,6,169
10:24:02,172.18.9.40,172.217.170.174,6,606
10:24:02,172.18.9.40,172.217.170.174,6,606
10:24:02,172.217.170.174,172.18.9.40,6,66
10:24:02,172.217.170.174,172.18.9.40,6,66
